name	value	type	default	description	file	line
IGNITE_H2_INDEXING_CACHE_CLEANUP_PERIOD	IGNITE_H2_INDEXING_CACHE_CLEANUP_PERIOD	Long	"10 seconds"	Period in milliseconds between calls of the SQL  statements cache cleanup task. Cleanup tasks clears cache for terminated threads and for threads which did  not perform SQL queries within timeout configured via IGNITE_H2_INDEXING_CACHE_THREAD_USAGE_TIMEOUT  property	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	820
IGNITE_H2_INDEXING_CACHE_THREAD_USAGE_TIMEOUT	IGNITE_H2_INDEXING_CACHE_THREAD_USAGE_TIMEOUT	Long	"10 minutes"	Timeout in milliseconds after which thread's SQL statements cache is cleared  by cleanup task if the thread does not perform any query	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	831
IGNITE_STREAM_TRANSFORMER_COMPATIBILITY_MODE	IGNITE_STREAM_TRANSFORMER_COMPATIBILITY_MODE				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	849
IGNITE_CONSISTENT_ID_BY_HOST_WITHOUT_PORT	IGNITE_CONSISTENT_ID_BY_HOST_WITHOUT_PORT				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	858
IGNITE_OVERRIDE_CONSISTENT_ID	IGNITE_OVERRIDE_CONSISTENT_ID	String		Consistent ID of Ignite node. Value of the  system property will overwrite matched property IgniteConfiguration.setConsistentId(Serializable)  in configuration	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	869
IGNITE_IGNORE_LOCAL_HOST_NAME	IGNITE_IGNORE_LOCAL_HOST_NAME		"true"	Ignores local address's hostname if IGNITE_LOCAL_HOST is defined  when resolving local node's addresses	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	880
IGNITE_UNWRAP_BINARY_FOR_INDEXING_SPI	IGNITE_UNWRAP_BINARY_FOR_INDEXING_SPI				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	891
IGNITE_MAX_INDEX_PAYLOAD_SIZE	IGNITE_MAX_INDEX_PAYLOAD_SIZE	Integer	"64"	Maximum payload size in bytes for H2TreeIndex.  0 means that inline index store is disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	900
IGNITE_REBALANCE_STATISTICS_TIME_INTERVAL	IGNITE_REBALANCE_STATISTICS_TIME_INTERVAL	Integer	"64"	Maximum payload size in bytes for H2TreeIndex.  0 means that inline index store is disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	909
IGNITE_TTL_EXPIRE_BATCH_SIZE	IGNITE_TTL_EXPIRE_BATCH_SIZE	Integer	"60000"	Time interval for calculating rebalance rate statistics, in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	917
IGNITE_INDEXING_DISCOVERY_HISTORY_SIZE	IGNITE_INDEXING_DISCOVERY_HISTORY_SIZE	Integer	"" + DFLT_INDEXING_DISCOVERY_HISTORY_SIZE	Indexing discovery history size. Protects from duplicate messages  maintaining the list of IDs of recently arrived discovery messages	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	928
IGNITE_CACHE_START_SIZE	IGNITE_CACHE_START_SIZE	Integer	"" + DFLT_INDEXING_DISCOVERY_HISTORY_SIZE	Indexing discovery history size. Protects from duplicate messages  maintaining the list of IDs of recently arrived discovery messages	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	933
IGNITE_START_CACHES_ON_JOIN	IGNITE_START_CACHES_ON_JOIN	Integer	"" + DFLT_CACHE_START_SIZE	Cache start size for on-heap maps	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	937
IGNITE_PDS_SKIP_CRC	IGNITE_PDS_SKIP_CRC				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	943
IGNITE_PDS_PARTITION_DESTROY_CHECKPOINT_DELAY	IGNITE_PDS_PARTITION_DESTROY_CHECKPOINT_DELAY	Integer		PDS partition destroy checkpoint delay	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	950
IGNITE_PDS_WAL_REBALANCE_THRESHOLD	IGNITE_PDS_WAL_REBALANCE_THRESHOLD	Integer		PDS partition destroy checkpoint delay	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	960
IGNITE_PREFER_WAL_REBALANCE	IGNITE_PREFER_WAL_REBALANCE	Integer	"" + DFLT_PDS_WAL_REBALANCE_THRESHOLD	WAL rebalance threshold	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	969
IGNITE_CHECKPOINT_MAP_SNAPSHOT_THRESHOLD	IGNITE_CHECKPOINT_MAP_SNAPSHOT_THRESHOLD	Integer	"" + DFLT_IGNITE_CHECKPOINT_MAP_SNAPSHOT_THRESHOLD	Threshold of the checkpoint quantity since the last earliest checkpoint map snapshot.  After this thresold is reached, a snapshot of the earliest checkpoint map will be captured	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	979
IGNITE_OFFHEAP_LOCK_CONCURRENCY_LEVEL	IGNITE_OFFHEAP_LOCK_CONCURRENCY_LEVEL	Integer	"" + DFLT_IGNITE_CHECKPOINT_MAP_SNAPSHOT_THRESHOLD	Threshold of the checkpoint quantity since the last earliest checkpoint map snapshot.  After this thresold is reached, a snapshot of the earliest checkpoint map will be captured	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	983
IGNITE_SECURITY_COMPATIBILITY_MODE	IGNITE_SECURITY_COMPATIBILITY_MODE				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	999
IGNITE_CLUSTER_NAME	IGNITE_CLUSTER_NAME	String		Ignite cluster name. Defaults to cluster ID	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1003
IGNITE_CLIENT_CACHE_CHANGE_MESSAGE_TIMEOUT	IGNITE_CLIENT_CACHE_CHANGE_MESSAGE_TIMEOUT	Long	"" + DFLT_CLIENT_CACHE_CHANGE_MESSAGE_TIMEOUT	When client cache is started or closed special discovery message is sent  to notify cluster (for example this is needed for ClusterGroup.forCacheNodes(String) API. This timeout  in milliseconds specifies how long to wait after client cache start/close before sending this message. If  during this timeout another client cache changed, these events are combined into single message	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1018
IGNITE_PARTITION_RELEASE_FUTURE_DUMP_THRESHOLD	IGNITE_PARTITION_RELEASE_FUTURE_DUMP_THRESHOLD	Integer	"" + DFLT_PARTITION_RELEASE_FUTURE_DUMP_THRESHOLD	If a partition release future completion time during an exchange exceeds  this threshold (in milliseconds), the contents of the future will be dumped to the log on exchange.  0 means disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1028
IGNITE_PARTITION_RELEASE_FUTURE_WARN_LIMIT	IGNITE_PARTITION_RELEASE_FUTURE_WARN_LIMIT	Integer	"" + DFLT_IGNITE_PARTITION_RELEASE_FUTURE_WARN_LIMIT	This property specifies the maximum number of futures that are included into diagnostic  message	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1037
IGNITE_ENABLE_FORCIBLE_NODE_KILL	IGNITE_ENABLE_FORCIBLE_NODE_KILL	Integer	"" + DFLT_IGNITE_PARTITION_RELEASE_FUTURE_WARN_LIMIT	This property specifies the maximum number of futures that are included into diagnostic  message	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1046
IGNITE_DATA_STREAMING_EXECUTOR_SERVICE_TASKS_STEALING_THRESHOLD	IGNITE_DATA_STREAMING_EXECUTOR_SERVICE_TASKS_STEALING_THRESHOLD	Integer	"" + DFLT_DATA_STREAMING_EXECUTOR_SERVICE_TASKS_STEALING_THRESHOLD	Tasks stealing will be started if tasks queue size per data-streamer thread  exceeds this threshold	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1056
IGNITE_USE_ASYNC_FILE_IO_FACTORY	IGNITE_USE_ASYNC_FILE_IO_FACTORY	Integer	"" + DFLT_DATA_STREAMING_EXECUTOR_SERVICE_TASKS_STEALING_THRESHOLD	Tasks stealing will be started if tasks queue size per data-streamer thread  exceeds this threshold	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1064
IGNITE_OVERRIDE_WRITE_THROTTLING_ENABLED	IGNITE_OVERRIDE_WRITE_THROTTLING_ENABLED		"" + DFLT_USE_ASYNC_FILE_IO_FACTORY	If this property is set, then Ignite will use Async File IO factory by default	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1071
IGNITE_WAL_SERIALIZER_VERSION	IGNITE_WAL_SERIALIZER_VERSION	String		Checkpoint throttling policy	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1078
IGNITE_WAL_SEGMENT_SYNC_TIMEOUT	IGNITE_WAL_SEGMENT_SYNC_TIMEOUT	Integer	"" + LATEST_SERIALIZER_VERSION	WAL serializer version	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1083
IGNITE_USE_LEGACY_NODE_COMPARATOR	IGNITE_USE_LEGACY_NODE_COMPARATOR	Long	"" + DFLT_WAL_SEGMENT_SYNC_TIMEOUT	WAL segment sync timeout in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	1091
